"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"30685","Press any key to begin.","66","html-keyboard-response","0","30727","0.0-0.0","","","","",""
"13493","","","survey-text","1","44223","0.0-1.0","{""Q0"":""Set1_128715"",""Q1"":""Set1_128715""}","","","",""
"25187","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","78","html-keyboard-response","2","69412","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","71916","0.0-3.0-0.0","","fixation","","",""
"2223","Set1/063a.jpg","78","image-keyboard-response","4","74144","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","74646","0.0-3.0-0.1","","fixation","","",""
"1543","Set1/064a.jpg","78","image-keyboard-response","6","76190","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","76693","0.0-3.0-0.2","","fixation","","",""
"1412","Set1/047a.jpg","78","image-keyboard-response","8","78106","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","78609","0.0-3.0-0.3","","fixation","","",""
"1536","Set1/025a.jpg","78","image-keyboard-response","10","80146","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","80647","0.0-3.0-0.4","","fixation","","",""
"1345","Set1/146a.jpg","78","image-keyboard-response","12","81993","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","82496","0.0-3.0-0.5","","fixation","","",""
"1585","Set1/020a.jpg","78","image-keyboard-response","14","84083","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","84585","0.0-3.0-0.6","","fixation","","",""
"1799","Set1/120a.jpg","78","image-keyboard-response","16","86385","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","86886","0.0-3.0-0.7","","fixation","","",""
"1526","Set1/148a.jpg","78","image-keyboard-response","18","88413","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","88915","0.0-3.0-0.8","","fixation","","",""
"1289","Set1/028a.jpg","78","image-keyboard-response","20","90205","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","90706","0.0-3.0-0.9","","fixation","","",""
"1300","Set1/071a.jpg","78","image-keyboard-response","22","92007","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","92510","0.0-3.0-0.10","","fixation","","",""
"1225","Set1/030a.jpg","78","image-keyboard-response","24","93736","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","94238","0.0-3.0-0.11","","fixation","","",""
"1450","Set1/037a.jpg","78","image-keyboard-response","26","95689","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","96191","0.0-3.0-0.12","","fixation","","",""
"1499","Set1/120a.jpg","79","image-keyboard-response","28","97691","0.0-3.0-1.12","","","Update","o","true"
