"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"124735","Press any key to begin.","32","html-keyboard-response","0","124771","0.0-0.0","","","","",""
"17346","","","survey-text","1","142123","0.0-1.0","{""Q0"":""Set1_128716"",""Q1"":""""}","","","",""
"101763","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","32","html-keyboard-response","2","243888","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","246393","0.0-3.0-0.0","","fixation","","",""
"2548","Set1/063a.jpg","78","image-keyboard-response","4","248945","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","249458","0.0-3.0-0.1","","fixation","","",""
"780","Set1/064a.jpg","78","image-keyboard-response","6","250240","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","250741","0.0-3.0-0.2","","fixation","","",""
"513","Set1/047a.jpg","78","image-keyboard-response","8","251256","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","251762","0.0-3.0-0.3","","fixation","","",""
"484","Set1/025a.jpg","78","image-keyboard-response","10","252248","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","252750","0.0-3.0-0.4","","fixation","","",""
"552","Set1/146a.jpg","78","image-keyboard-response","12","253304","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","253815","0.0-3.0-0.5","","fixation","","",""
"640","Set1/020a.jpg","78","image-keyboard-response","14","254456","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","254958","0.0-3.0-0.6","","fixation","","",""
"881","Set1/120a.jpg","78","image-keyboard-response","16","255840","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","256355","0.0-3.0-0.7","","fixation","","",""
"580","Set1/148a.jpg","78","image-keyboard-response","18","256936","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","257441","0.0-3.0-0.8","","fixation","","",""
"701","Set1/028a.jpg","78","image-keyboard-response","20","258144","0.0-3.0-1.8","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","258647","0.0-3.0-0.9","","fixation","","",""
"648","Set1/071a.jpg","78","image-keyboard-response","22","259296","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","259812","0.0-3.0-0.10","","fixation","","",""
"595","Set1/030a.jpg","78","image-keyboard-response","24","260408","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","260914","0.0-3.0-0.11","","fixation","","",""
"501","Set1/037a.jpg","78","image-keyboard-response","26","261416","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","261928","0.0-3.0-0.12","","fixation","","",""
"478","Set1/120a.jpg","78","image-keyboard-response","28","262408","0.0-3.0-1.12","","","Update","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","262915","0.0-3.0-0.13","","fixation","","",""
"732","Set1/005a.jpg","78","image-keyboard-response","30","263648","0.0-3.0-1.13","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","264153","0.0-3.0-0.14","","fixation","","",""
"750","Set1/079a.jpg","78","image-keyboard-response","32","264904","0.0-3.0-1.14","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","265407","0.0-3.0-0.15","","fixation","","",""
"599","Set1/136a.jpg","78","image-keyboard-response","34","266008","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","266513","0.0-3.0-0.16","","fixation","","",""
"null","Set1/133a.jpg","null","image-keyboard-response","36","276516","0.0-3.0-1.16","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","277025","0.0-3.0-0.17","","fixation","","",""
"1542","Set1/128a.jpg","78","image-keyboard-response","38","278569","0.0-3.0-1.17","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","279078","0.0-3.0-0.18","","fixation","","",""
"640","Set1/054a.jpg","78","image-keyboard-response","40","279720","0.0-3.0-1.18","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","280225","0.0-3.0-0.19","","fixation","","",""
"527","Set1/108a.jpg","78","image-keyboard-response","42","280752","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","281257","0.0-3.0-0.20","","fixation","","",""
"757","Set1/050a.jpg","78","image-keyboard-response","44","282016","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","282518","0.0-3.0-0.21","","fixation","","",""
"641","Set1/140a.jpg","78","image-keyboard-response","46","283160","0.0-3.0-1.21","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","283662","0.0-3.0-0.22","","fixation","","",""
"665","Set1/051a.jpg","78","image-keyboard-response","48","284328","0.0-3.0-1.22","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","284841","0.0-3.0-0.23","","fixation","","",""
"581","Set1/063a.jpg","79","image-keyboard-response","50","285424","0.0-3.0-1.23","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","285938","0.0-3.0-0.24","","fixation","","",""
"null","Set1/006a.jpg","null","image-keyboard-response","52","295952","0.0-3.0-1.24","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","296456","0.0-3.0-0.25","","fixation","","",""
"1247","Set1/158a.jpg","78","image-keyboard-response","54","297705","0.0-3.0-1.25","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","298207","0.0-3.0-0.26","","fixation","","",""
"512","Set1/020a.jpg","78","image-keyboard-response","56","298720","0.0-3.0-1.26","","","Set_1_Only","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","299223","0.0-3.0-0.27","","fixation","","",""
"680","Set1/082a.jpg","78","image-keyboard-response","58","299904","0.0-3.0-1.27","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","300408","0.0-3.0-0.28","","fixation","","",""
"639","Set1/107a.jpg","78","image-keyboard-response","60","301048","0.0-3.0-1.28","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","301563","0.0-3.0-0.29","","fixation","","",""
"1260","Set1/121a.jpg","78","image-keyboard-response","62","302824","0.0-3.0-1.29","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","303339","0.0-3.0-0.30","","fixation","","",""
"828","Set1/085a.jpg","78","image-keyboard-response","64","304168","0.0-3.0-1.30","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","304669","0.0-3.0-0.31","","fixation","","",""
"705","Set1/136a.jpg","79","image-keyboard-response","66","305376","0.0-3.0-1.31","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","305888","0.0-3.0-0.32","","fixation","","",""
"854","Set1/049a.jpg","78","image-keyboard-response","68","306744","0.0-3.0-1.32","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","307258","0.0-3.0-0.33","","fixation","","",""
"941","Set1/133a.jpg","79","image-keyboard-response","70","308201","0.0-3.0-1.33","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","308703","0.0-3.0-0.34","","fixation","","",""
"1200","Set1/093a.jpg","78","image-keyboard-response","72","309904","0.0-3.0-1.34","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","310409","0.0-3.0-0.35","","fixation","","",""
"1222","Set1/064a.jpg","79","image-keyboard-response","74","311632","0.0-3.0-1.35","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","312140","0.0-3.0-0.36","","fixation","","",""
"666","Set1/005a.jpg","79","image-keyboard-response","76","312808","0.0-3.0-1.36","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","313323","0.0-3.0-0.37","","fixation","","",""
"590","Set1/128a.jpg","79","image-keyboard-response","78","313914","0.0-3.0-1.37","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","314423","0.0-3.0-0.38","","fixation","","",""
"null","Set1/044a.jpg","null","image-keyboard-response","80","324436","0.0-3.0-1.38","","","Repeat","n","false"
