"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"960","Set1/069a.jpg","78","image-keyboard-response","378","263416","0.0-3.0-1.187","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","379","263917","0.0-3.0-0.188","","fixation","","",""
"626","Set1/129a.jpg","78","image-keyboard-response","380","264543","0.0-3.0-1.188","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","381","265049","0.0-3.0-0.189","","fixation","","",""
"809","Set1/032a.jpg","79","image-keyboard-response","382","265858","0.0-3.0-1.189","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","383","266360","0.0-3.0-0.190","","fixation","","",""
"778","Set1/024a.jpg","78","image-keyboard-response","384","267139","0.0-3.0-1.190","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","385","267641","0.0-3.0-0.191","","fixation","","",""
"694","Set1/078a.jpg","78","image-keyboard-response","386","268336","0.0-3.0-1.191","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","387","268840","0.0-3.0-0.192","","fixation","","",""
"599","Set1/103a.jpg","78","image-keyboard-response","388","269440","0.0-3.0-1.192","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","389","269941","0.0-3.0-0.193","","fixation","","",""
"826","Set1/130a.jpg","79","image-keyboard-response","390","270768","0.0-3.0-1.193","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","391","271271","0.0-3.0-0.194","","fixation","","",""
"712","Set1/022a.jpg","78","image-keyboard-response","392","271984","0.0-3.0-1.194","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","393","272485","0.0-3.0-0.195","","fixation","","",""
"779","Set1/124a.jpg","78","image-keyboard-response","394","273264","0.0-3.0-1.195","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","395","273769","0.0-3.0-0.196","","fixation","","",""
"726","Set1/068a.jpg","79","image-keyboard-response","396","274496","0.0-3.0-1.196","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","397","275002","0.0-3.0-0.197","","fixation","","",""
"590","Set1/078a.jpg","79","image-keyboard-response","398","275592","0.0-3.0-1.197","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","399","276093","0.0-3.0-0.198","","fixation","","",""
"626","Set1/137a.jpg","79","image-keyboard-response","400","276721","0.0-3.0-1.198","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","401","277221","0.0-3.0-0.199","","fixation","","",""
