"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"5364","Press any key to begin.","32","html-keyboard-response","0","5426","0.0-0.0","","","","",""
"13992","","","survey-text","1","19447","0.0-1.0","{""Q0"":""Set1128190"",""Q1"":""""}","","","",""
"14737","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","13","html-keyboard-response","2","34185","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","36742","0.0-3.0-0.0","","fixation","","",""
"1062","Set1/063a.jpg","78","image-keyboard-response","4","37806","0.0-3.0-1.0","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","38336","0.0-3.0-0.1","","fixation","","",""
"972","Set1/064a.jpg","78","image-keyboard-response","6","39310","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","39820","0.0-3.0-0.2","","fixation","","",""
"821","Set1/047a.jpg","78","image-keyboard-response","8","40646","0.0-3.0-1.2","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","41164","0.0-3.0-0.3","","fixation","","",""
"800","Set1/025a.jpg","78","image-keyboard-response","10","41966","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","42477","0.0-3.0-0.4","","fixation","","",""
"751","Set1/146a.jpg","78","image-keyboard-response","12","43231","0.0-3.0-1.4","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","43758","0.0-3.0-0.5","","fixation","","",""
"782","Set1/020a.jpg","78","image-keyboard-response","14","44544","0.0-3.0-1.5","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","45056","0.0-3.0-0.6","","fixation","","",""
"1059","Set1/120a.jpg","78","image-keyboard-response","16","46120","0.0-3.0-1.6","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","46634","0.0-3.0-0.7","","fixation","","",""
"834","Set1/148a.jpg","78","image-keyboard-response","18","47471","0.0-3.0-1.7","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","47978","0.0-3.0-0.8","","fixation","","",""
"null","Set1/028a.jpg","null","image-keyboard-response","20","57989","0.0-3.0-1.8","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","58514","0.0-3.0-0.9","","fixation","","",""
"915","Set1/071a.jpg","78","image-keyboard-response","22","59438","0.0-3.0-1.9","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","59940","0.0-3.0-0.10","","fixation","","",""
"799","Set1/030a.jpg","78","image-keyboard-response","24","60744","0.0-3.0-1.10","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","61254","0.0-3.0-0.11","","fixation","","",""
"1238","Set1/037a.jpg","78","image-keyboard-response","26","62502","0.0-3.0-1.11","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","63014","0.0-3.0-0.12","","fixation","","",""
"2294","Set1/120a.jpg","79","image-keyboard-response","28","65310","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","65817","0.0-3.0-0.13","","fixation","","",""
"2054","Set1/005a.jpg","78","image-keyboard-response","30","67879","0.0-3.0-1.13","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","68395","0.0-3.0-0.14","","fixation","","",""
"1056","Set1/079a.jpg","79","image-keyboard-response","32","69463","0.0-3.0-1.14","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","69973","0.0-3.0-0.15","","fixation","","",""
"1464","Set1/136a.jpg","78","image-keyboard-response","34","71448","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","71973","0.0-3.0-0.16","","fixation","","",""
"941","Set1/133a.jpg","78","image-keyboard-response","36","72928","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","73443","0.0-3.0-0.17","","fixation","","",""
"803","Set1/128a.jpg","78","image-keyboard-response","38","74256","0.0-3.0-1.17","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","74787","0.0-3.0-0.18","","fixation","","",""
"1577","Set1/054a.jpg","78","image-keyboard-response","40","76375","0.0-3.0-1.18","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","76991","0.0-3.0-0.19","","fixation","","",""
"786","Set1/108a.jpg","78","image-keyboard-response","42","77790","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","78303","0.0-3.0-0.20","","fixation","","",""
"874","Set1/050a.jpg","78","image-keyboard-response","44","79191","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","79693","0.0-3.0-0.21","","fixation","","",""
"701","Set1/140a.jpg","78","image-keyboard-response","46","80408","0.0-3.0-1.21","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","80927","0.0-3.0-0.22","","fixation","","",""
"916","Set1/051a.jpg","78","image-keyboard-response","48","81848","0.0-3.0-1.22","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","82366","0.0-3.0-0.23","","fixation","","",""
"810","Set1/063a.jpg","79","image-keyboard-response","50","83192","0.0-3.0-1.23","","","Repeat","o","true"
