"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","151","150244","0.0-3.0-0.74","","fixation","","",""
"962","Set1/160a.jpg","79","image-keyboard-response","152","151213","0.0-3.0-1.74","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","153","151729","0.0-3.0-0.75","","fixation","","",""
"1248","Set1/134a.jpg","79","image-keyboard-response","154","152985","0.0-3.0-1.75","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","155","153509","0.0-3.0-0.76","","fixation","","",""
"1249","Set1/146a.jpg","79","image-keyboard-response","156","154764","0.0-3.0-1.76","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","157","155278","0.0-3.0-0.77","","fixation","","",""
"1083","Set1/107a.jpg","78","image-keyboard-response","158","156368","0.0-3.0-1.77","","","Update","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","159","156891","0.0-3.0-0.78","","fixation","","",""
"1053","Set1/079a.jpg","79","image-keyboard-response","160","157952","0.0-3.0-1.78","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","161","158486","0.0-3.0-0.79","","fixation","","",""
"826","Set1/121a.jpg","79","image-keyboard-response","162","159318","0.0-3.0-1.79","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","163","159837","0.0-3.0-0.80","","fixation","","",""
"1073","Set1/095a.jpg","78","image-keyboard-response","164","160912","0.0-3.0-1.80","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","165","161436","0.0-3.0-0.81","","fixation","","",""
"1091","Set1/041a.jpg","78","image-keyboard-response","166","162535","0.0-3.0-1.81","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","167","163075","0.0-3.0-0.82","","fixation","","",""
"1139","Set1/100a.jpg","78","image-keyboard-response","168","164223","0.0-3.0-1.82","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","169","164740","0.0-3.0-0.83","","fixation","","",""
"926","Set1/036a.jpg","78","image-keyboard-response","170","165673","0.0-3.0-1.83","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","171","166215","0.0-3.0-0.84","","fixation","","",""
"1015","Set1/115a.jpg","78","image-keyboard-response","172","167237","0.0-3.0-1.84","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","173","167761","0.0-3.0-0.85","","fixation","","",""
"1078","Set1/123a.jpg","78","image-keyboard-response","174","168848","0.0-3.0-1.85","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","175","169380","0.0-3.0-0.86","","fixation","","",""
"1043","Set1/015a.jpg","78","image-keyboard-response","176","170430","0.0-3.0-1.86","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","177","170973","0.0-3.0-0.87","","fixation","","",""
"1005","Set1/096a.jpg","78","image-keyboard-response","178","171985","0.0-3.0-1.87","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","179","172500","0.0-3.0-0.88","","fixation","","",""
"1103","Set1/110a.jpg","78","image-keyboard-response","180","173609","0.0-3.0-1.88","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","181","174128","0.0-3.0-0.89","","fixation","","",""
"1234","Set1/151a.jpg","78","image-keyboard-response","182","175369","0.0-3.0-1.89","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","183","175909","0.0-3.0-0.90","","fixation","","",""
"1097","Set1/035a.jpg","78","image-keyboard-response","184","177013","0.0-3.0-1.90","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","185","177528","0.0-3.0-0.91","","fixation","","",""
"1039","Set1/026a.jpg","78","image-keyboard-response","186","178575","0.0-3.0-1.91","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","187","179101","0.0-3.0-0.92","","fixation","","",""
"959","Set1/067a.jpg","78","image-keyboard-response","188","180069","0.0-3.0-1.92","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","189","180589","0.0-3.0-0.93","","fixation","","",""
"1004","Set1/076a.jpg","78","image-keyboard-response","190","181601","0.0-3.0-1.93","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","191","182124","0.0-3.0-0.94","","fixation","","",""
"1114","Set1/125a.jpg","78","image-keyboard-response","192","183247","0.0-3.0-1.94","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","193","183767","0.0-3.0-0.95","","fixation","","",""
"842","Set1/123a.jpg","79","image-keyboard-response","194","184617","0.0-3.0-1.95","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","195","185134","0.0-3.0-0.96","","fixation","","",""
"907","Set1/076a.jpg","79","image-keyboard-response","196","186047","0.0-3.0-1.96","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","197","186573","0.0-3.0-0.97","","fixation","","",""
"1149","Set1/151a.jpg","79","image-keyboard-response","198","187727","0.0-3.0-1.97","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","199","188259","0.0-3.0-0.98","","fixation","","",""
"819","Set1/115a.jpg","79","image-keyboard-response","200","189089","0.0-3.0-1.98","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","201","189616","0.0-3.0-0.99","","fixation","","",""
"992","Set1/081a.jpg","78","image-keyboard-response","202","190615","0.0-3.0-1.99","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","203","191133","0.0-3.0-0.100","","fixation","","",""
"1034","Set1/015a.jpg","79","image-keyboard-response","204","192175","0.0-3.0-1.100","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","205","192708","0.0-3.0-0.101","","fixation","","",""
"782","Set1/035a.jpg","79","image-keyboard-response","206","193497","0.0-3.0-1.101","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","207","194022","0.0-3.0-0.102","","fixation","","",""
"1001","Set1/014a.jpg","78","image-keyboard-response","208","195032","0.0-3.0-1.102","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","209","195560","0.0-3.0-0.103","","fixation","","",""
"873","Set1/152a.jpg","78","image-keyboard-response","210","196440","0.0-3.0-1.103","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","211","196968","0.0-3.0-0.104","","fixation","","",""
"1055","Set1/114a.jpg","78","image-keyboard-response","212","198032","0.0-3.0-1.104","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","213","198556","0.0-3.0-0.105","","fixation","","",""
"1299","Set1/019a.jpg","78","image-keyboard-response","214","199863","0.0-3.0-1.105","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","215","200389","0.0-3.0-0.106","","fixation","","",""
"1064","Set1/013a.jpg","78","image-keyboard-response","216","201461","0.0-3.0-1.106","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","217","201981","0.0-3.0-0.107","","fixation","","",""
"1097","Set1/053a.jpg","78","image-keyboard-response","218","203086","0.0-3.0-1.107","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","219","203615","0.0-3.0-0.108","","fixation","","",""
"916","Set1/026a.jpg","79","image-keyboard-response","220","204537","0.0-3.0-1.108","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","221","205060","0.0-3.0-0.109","","fixation","","",""
"1052","Set1/138a.jpg","78","image-keyboard-response","222","206121","0.0-3.0-1.109","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","223","206634","0.0-3.0-0.110","","fixation","","",""
"941","Set1/010a.jpg","78","image-keyboard-response","224","207584","0.0-3.0-1.110","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","225","208108","0.0-3.0-0.111","","fixation","","",""
"1316","Set1/008a.jpg","78","image-keyboard-response","226","209432","0.0-3.0-1.111","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","227","209961","0.0-3.0-0.112","","fixation","","",""
"935","Set1/036a.jpg","79","image-keyboard-response","228","210903","0.0-3.0-1.112","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","229","211419","0.0-3.0-0.113","","fixation","","",""
"847","Set1/081a.jpg","79","image-keyboard-response","230","212275","0.0-3.0-1.113","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","231","212809","0.0-3.0-0.114","","fixation","","",""
"898","Set1/114a.jpg","79","image-keyboard-response","232","213714","0.0-3.0-1.114","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","233","214250","0.0-3.0-0.115","","fixation","","",""
"943","Set1/156a.jpg","78","image-keyboard-response","234","215202","0.0-3.0-1.115","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","215717","0.0-3.0-0.116","","fixation","","",""
"866","Set1/056a.jpg","78","image-keyboard-response","236","216589","0.0-3.0-1.116","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","237","217111","0.0-3.0-0.117","","fixation","","",""
"1182","Set1/150a.jpg","78","image-keyboard-response","238","218300","0.0-3.0-1.117","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","239","218821","0.0-3.0-0.118","","fixation","","",""
"922","Set1/152a.jpg","79","image-keyboard-response","240","219751","0.0-3.0-1.118","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","241","220275","0.0-3.0-0.119","","fixation","","",""
"953","Set1/157a.jpg","78","image-keyboard-response","242","221235","0.0-3.0-1.119","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","243","221757","0.0-3.0-0.120","","fixation","","",""
"939","Set1/059a.jpg","78","image-keyboard-response","244","222704","0.0-3.0-1.120","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","245","223232","0.0-3.0-0.121","","fixation","","",""
"1066","Set1/055a.jpg","78","image-keyboard-response","246","224308","0.0-3.0-1.121","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","247","224840","0.0-3.0-0.122","","fixation","","",""
"1026","Set1/019a.jpg","79","image-keyboard-response","248","225874","0.0-3.0-1.122","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","249","226395","0.0-3.0-0.123","","fixation","","",""
"922","Set1/075a.jpg","78","image-keyboard-response","250","227328","0.0-3.0-1.123","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","251","227840","0.0-3.0-0.124","","fixation","","",""
"1086","Set1/048a.jpg","78","image-keyboard-response","252","228930","0.0-3.0-1.124","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","253","229447","0.0-3.0-0.125","","fixation","","",""
"828","Set1/052a.jpg","78","image-keyboard-response","254","230283","0.0-3.0-1.125","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","255","230806","0.0-3.0-0.126","","fixation","","",""
"1099","Set1/154a.jpg","78","image-keyboard-response","256","231913","0.0-3.0-1.126","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","257","232447","0.0-3.0-0.127","","fixation","","",""
"764","Set1/041a.jpg","79","image-keyboard-response","258","233220","0.0-3.0-1.127","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","259","233758","0.0-3.0-0.128","","fixation","","",""
"707","Set1/010a.jpg","79","image-keyboard-response","260","234473","0.0-3.0-1.128","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","261","234992","0.0-3.0-0.129","","fixation","","",""
"904","Set1/008a.jpg","79","image-keyboard-response","262","235904","0.0-3.0-1.129","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","263","236420","0.0-3.0-0.130","","fixation","","",""
"920","Set1/154a.jpg","79","image-keyboard-response","264","237348","0.0-3.0-1.130","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","265","237868","0.0-3.0-0.131","","fixation","","",""
