"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","327","513569","0.0-3.0-0.162","","fixation","","",""
"1731","a_b montage/ab_178.jpg","78","image-keyboard-response","328","515303","0.0-3.0-1.162","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","329","515804","0.0-3.0-0.163","","fixation","","",""
"1678","b_a new/ba_014.jpg","78","image-keyboard-response","330","517484","0.0-3.0-1.163","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","331","517985","0.0-3.0-0.164","","fixation","","",""
"1748","b_a montage/ba_126.jpg","82","image-keyboard-response","332","519734","0.0-3.0-1.164","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","333","520235","0.0-3.0-0.165","","fixation","","",""
"3058","b_a montage/ba_134.jpg","66","image-keyboard-response","334","523293","0.0-3.0-1.165","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","335","523794","0.0-3.0-0.166","","fixation","","",""
"2538","b_a montage/ba_162.jpg","78","image-keyboard-response","336","526335","0.0-3.0-1.166","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","337","526838","0.0-3.0-0.167","","fixation","","",""
"2796","b_a montage/ba_003.jpg","82","image-keyboard-response","338","529635","0.0-3.0-1.167","","","Set_1_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","339","530137","0.0-3.0-0.168","","fixation","","",""
"1965","b_a montage/ba_007.jpg","82","image-keyboard-response","340","532104","0.0-3.0-1.168","","","Set_1_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","341","532605","0.0-3.0-0.169","","fixation","","",""
"2768","b_a montage/ba_063.jpg","82","image-keyboard-response","342","535375","0.0-3.0-1.169","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","343","535876","0.0-3.0-0.170","","fixation","","",""
"2939","b_a montage/ba_132.jpg","82","image-keyboard-response","344","538816","0.0-3.0-1.170","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","345","539318","0.0-3.0-0.171","","fixation","","",""
"2066","a_b montage/ab_096.jpg","76","image-keyboard-response","346","541385","0.0-3.0-1.171","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","347","541886","0.0-3.0-0.172","","fixation","","",""
"1737","b_a montage/ba_014.jpg","78","image-keyboard-response","348","543626","0.0-3.0-1.172","","","Set_1_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","349","544126","0.0-3.0-0.173","","fixation","","",""
"2828","b_a montage/ba_105.jpg","76","image-keyboard-response","350","546955","0.0-3.0-1.173","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","351","547456","0.0-3.0-0.174","","fixation","","",""
"2531","b_a montage/ba_054.jpg","82","image-keyboard-response","352","549990","0.0-3.0-1.174","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","353","550490","0.0-3.0-0.175","","fixation","","",""
"2872","b_a montage/ba_042.jpg","82","image-keyboard-response","354","553363","0.0-3.0-1.175","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","355","553864","0.0-3.0-0.176","","fixation","","",""
"1910","a_b montage/ab_074.jpg","76","image-keyboard-response","356","555776","0.0-3.0-1.176","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","357","556277","0.0-3.0-0.177","","fixation","","",""
"1522","a_b montage/ab_083.jpg","76","image-keyboard-response","358","557800","0.0-3.0-1.177","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","359","558302","0.0-3.0-0.178","","fixation","","",""
"2083","b_a montage/ba_144.jpg","82","image-keyboard-response","360","560387","0.0-3.0-1.178","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","361","560888","0.0-3.0-0.179","","fixation","","",""
"2748","a_b montage/ab_078.jpg","76","image-keyboard-response","362","563637","0.0-3.0-1.179","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","363","564138","0.0-3.0-0.180","","fixation","","",""
"1586","a_b montage/ab_184.jpg","78","image-keyboard-response","364","565727","0.0-3.0-1.180","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","365","566227","0.0-3.0-0.181","","fixation","","",""
"1867","b_a montage/ba_121.jpg","82","image-keyboard-response","366","568096","0.0-3.0-1.181","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","367","568596","0.0-3.0-0.182","","fixation","","",""
"2122","b_a montage/ba_001.jpg","82","image-keyboard-response","368","570720","0.0-3.0-1.182","","","Set_1_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","369","571220","0.0-3.0-0.183","","fixation","","",""
"1865","b_a montage/ba_106.jpg","82","image-keyboard-response","370","573086","0.0-3.0-1.183","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","371","573587","0.0-3.0-0.184","","fixation","","",""
"1326","b_a montage/ba_122.jpg","82","image-keyboard-response","372","574915","0.0-3.0-1.184","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","373","575416","0.0-3.0-0.185","","fixation","","",""
"2817","b_a montage/ba_064.jpg","82","image-keyboard-response","374","578234","0.0-3.0-1.185","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","375","578735","0.0-3.0-0.186","","fixation","","",""
"1669","b_a montage/ba_059.jpg","78","image-keyboard-response","376","580405","0.0-3.0-1.186","","","Repeat","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","377","580907","0.0-3.0-0.187","","fixation","","",""
"1824","b_a montage/ba_175.jpg","78","image-keyboard-response","378","582733","0.0-3.0-1.187","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","379","583233","0.0-3.0-0.188","","fixation","","",""
"3473","b_a montage/ba_169.jpg","78","image-keyboard-response","380","586708","0.0-3.0-1.188","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","381","587208","0.0-3.0-0.189","","fixation","","",""
"2030","b_a montage/ba_151.jpg","82","image-keyboard-response","382","589241","0.0-3.0-1.189","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","383","589741","0.0-3.0-0.190","","fixation","","",""
"2350","b_a montage/ba_010.jpg","82","image-keyboard-response","384","592094","0.0-3.0-1.190","","","Set_1_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","385","592594","0.0-3.0-0.191","","fixation","","",""
"3367","b_a montage/ba_164.jpg","76","image-keyboard-response","386","595962","0.0-3.0-1.191","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","387","596463","0.0-3.0-0.192","","fixation","","",""
"3559","a_b montage/ab_070.jpg","76","image-keyboard-response","388","600026","0.0-3.0-1.192","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","389","600526","0.0-3.0-0.193","","fixation","","",""
"2010","b_a montage/ba_044.jpg","82","image-keyboard-response","390","602540","0.0-3.0-1.193","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","391","603040","0.0-3.0-0.194","","fixation","","",""
"1741","b_a montage/ba_035.jpg","82","image-keyboard-response","392","604782","0.0-3.0-1.194","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","393","605283","0.0-3.0-0.195","","fixation","","",""
"1653","b_a montage/ba_040.jpg","82","image-keyboard-response","394","606937","0.0-3.0-1.195","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","395","607439","0.0-3.0-0.196","","fixation","","",""
"2016","b_a montage/ba_124.jpg","82","image-keyboard-response","396","609459","0.0-3.0-1.196","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","397","609960","0.0-3.0-0.197","","fixation","","",""
"2174","a_b montage/ab_025.jpg","76","image-keyboard-response","398","612135","0.0-3.0-1.197","","","Set_1_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","399","612637","0.0-3.0-0.198","","fixation","","",""
"2693","b_a montage/ba_165.jpg","82","image-keyboard-response","400","615331","0.0-3.0-1.198","","","Set_2_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","401","615832","0.0-3.0-0.199","","fixation","","",""
"2637","b_a montage/ba_138.jpg","82","image-keyboard-response","402","618471","0.0-3.0-1.199","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","403","618972","0.0-3.0-0.200","","fixation","","",""
"1784","a_b montage/ab_028.jpg","76","image-keyboard-response","404","620758","0.0-3.0-1.200","","","Set_1_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","405","621258","0.0-3.0-0.201","","fixation","","",""
"1576","a_b montage/ab_076.jpg","76","image-keyboard-response","406","622835","0.0-3.0-1.201","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","407","623336","0.0-3.0-0.202","","fixation","","",""
"4307","b_a new/ba_012.jpg","78","image-keyboard-response","408","627645","0.0-3.0-1.202","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","409","628145","0.0-3.0-0.203","","fixation","","",""
"3718","a_b montage/ab_068.jpg","76","image-keyboard-response","410","631866","0.0-3.0-1.203","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","411","632367","0.0-3.0-0.204","","fixation","","",""
"1851","b_a montage/ba_115.jpg","82","image-keyboard-response","412","634228","0.0-3.0-1.204","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","413","634729","0.0-3.0-0.205","","fixation","","",""
"2104","b_a montage/ba_118.jpg","82","image-keyboard-response","414","636842","0.0-3.0-1.205","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","415","637343","0.0-3.0-0.206","","fixation","","",""
"4223","a_b montage/ab_189.jpg","76","image-keyboard-response","416","641567","0.0-3.0-1.206","","","Set_2_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","417","642068","0.0-3.0-0.207","","fixation","","",""
"1688","b_a new/ba_009.jpg","78","image-keyboard-response","418","643759","0.0-3.0-1.207","","","Neither","n","true"
