"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"2352","Press any key to begin.","77","html-keyboard-response","0","2362","0.0-0.0","","","","",""
"5385","","","survey-text","1","7752","0.0-1.0","{""Q0"":""\""Set2128225\"""",""Q1"":""""}","","","",""
"17719","<p>In this experiment you will see a series of everyday objects presented one at a time at the center of the screen. Each image will be presented twice. </p><p>The first time you see the image, press the N key to indicate that it is a NEW image. The second time you see the image, press the O key to indicate that it is an OLD image.</p><div style='width: 700px;'></div><p>Press any key to begin.</p>","66","html-keyboard-response","2","25474","0.0-2.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","27977","0.0-3.0-0.0","","fixation","","",""
"null","Set1/063a.jpg","null","image-keyboard-response","4","37982","0.0-3.0-1.0","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","38486","0.0-3.0-0.1","","fixation","","",""
"1925","Set1/064a.jpg","78","image-keyboard-response","6","40413","0.0-3.0-1.1","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","40913","0.0-3.0-0.2","","fixation","","",""
"2255","Set1/047a.jpg","79","image-keyboard-response","8","43169","0.0-3.0-1.2","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","43670","0.0-3.0-0.3","","fixation","","",""
"2185","Set1/025a.jpg","78","image-keyboard-response","10","45856","0.0-3.0-1.3","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","46357","0.0-3.0-0.4","","fixation","","",""
"1423","Set1/146a.jpg","79","image-keyboard-response","12","47782","0.0-3.0-1.4","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","48283","0.0-3.0-0.5","","fixation","","",""
"2376","Set1/020a.jpg","79","image-keyboard-response","14","50660","0.0-3.0-1.5","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","51161","0.0-3.0-0.6","","fixation","","",""
"1990","Set1/120a.jpg","79","image-keyboard-response","16","53152","0.0-3.0-1.6","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","53653","0.0-3.0-0.7","","fixation","","",""
"1946","Set1/148a.jpg","79","image-keyboard-response","18","55601","0.0-3.0-1.7","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","56103","0.0-3.0-0.8","","fixation","","",""
"2636","Set1/028a.jpg","79","image-keyboard-response","20","58741","0.0-3.0-1.8","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","59243","0.0-3.0-0.9","","fixation","","",""
"1616","Set1/071a.jpg","79","image-keyboard-response","22","60860","0.0-3.0-1.9","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","61361","0.0-3.0-0.10","","fixation","","",""
"1233","Set1/030a.jpg","79","image-keyboard-response","24","62596","0.0-3.0-1.10","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","63097","0.0-3.0-0.11","","fixation","","",""
"1594","Set1/037a.jpg","79","image-keyboard-response","26","64692","0.0-3.0-1.11","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","65193","0.0-3.0-0.12","","fixation","","",""
"1228","Set1/120a.jpg","79","image-keyboard-response","28","66424","0.0-3.0-1.12","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","66924","0.0-3.0-0.13","","fixation","","",""
"1664","Set1/005a.jpg","79","image-keyboard-response","30","68590","0.0-3.0-1.13","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","69095","0.0-3.0-0.14","","fixation","","",""
"1899","Set1/079a.jpg","79","image-keyboard-response","32","70995","0.0-3.0-1.14","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","71496","0.0-3.0-0.15","","fixation","","",""
"1629","Set1/136a.jpg","78","image-keyboard-response","34","73127","0.0-3.0-1.15","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","73628","0.0-3.0-0.16","","fixation","","",""
"1229","Set1/133a.jpg","78","image-keyboard-response","36","74858","0.0-3.0-1.16","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","75359","0.0-3.0-0.17","","fixation","","",""
"1524","Set1/128a.jpg","79","image-keyboard-response","38","76885","0.0-3.0-1.17","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","77385","0.0-3.0-0.18","","fixation","","",""
"977","Set1/054a.jpg","79","image-keyboard-response","40","78363","0.0-3.0-1.18","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","78864","0.0-3.0-0.19","","fixation","","",""
"3114","Set1/108a.jpg","78","image-keyboard-response","42","81979","0.0-3.0-1.19","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","82480","0.0-3.0-0.20","","fixation","","",""
"1526","Set1/050a.jpg","78","image-keyboard-response","44","84009","0.0-3.0-1.20","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","84510","0.0-3.0-0.21","","fixation","","",""
"2363","Set1/140a.jpg","79","image-keyboard-response","46","86875","0.0-3.0-1.21","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","87376","0.0-3.0-0.22","","fixation","","",""
"1721","Set1/051a.jpg","79","image-keyboard-response","48","89099","0.0-3.0-1.22","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","89600","0.0-3.0-0.23","","fixation","","",""
"876","Set1/063a.jpg","79","image-keyboard-response","50","90478","0.0-3.0-1.23","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","90978","0.0-3.0-0.24","","fixation","","",""
"1952","Set1/006a.jpg","79","image-keyboard-response","52","92931","0.0-3.0-1.24","","","Set_1_Only","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","93432","0.0-3.0-0.25","","fixation","","",""
"1414","Set1/158a.jpg","79","image-keyboard-response","54","94848","0.0-3.0-1.25","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","95348","0.0-3.0-0.26","","fixation","","",""
"1031","Set1/020a.jpg","79","image-keyboard-response","56","96381","0.0-3.0-1.26","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","96881","0.0-3.0-0.27","","fixation","","",""
"1443","Set1/082a.jpg","79","image-keyboard-response","58","98325","0.0-3.0-1.27","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","98826","0.0-3.0-0.28","","fixation","","",""
"1267","Set1/107a.jpg","79","image-keyboard-response","60","100094","0.0-3.0-1.28","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","100595","0.0-3.0-0.29","","fixation","","",""
"1827","Set1/121a.jpg","79","image-keyboard-response","62","102424","0.0-3.0-1.29","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","102924","0.0-3.0-0.30","","fixation","","",""
"1552","Set1/085a.jpg","79","image-keyboard-response","64","104477","0.0-3.0-1.30","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","104978","0.0-3.0-0.31","","fixation","","",""
"1210","Set1/136a.jpg","79","image-keyboard-response","66","106189","0.0-3.0-1.31","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","106690","0.0-3.0-0.32","","fixation","","",""
"1878","Set1/049a.jpg","78","image-keyboard-response","68","108569","0.0-3.0-1.32","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","109076","0.0-3.0-0.33","","fixation","","",""
"1158","Set1/133a.jpg","79","image-keyboard-response","70","110236","0.0-3.0-1.33","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","110736","0.0-3.0-0.34","","fixation","","",""
"2774","Set1/093a.jpg","79","image-keyboard-response","72","113511","0.0-3.0-1.34","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","114014","0.0-3.0-0.35","","fixation","","",""
"813","Set1/064a.jpg","79","image-keyboard-response","74","114829","0.0-3.0-1.35","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","115330","0.0-3.0-0.36","","fixation","","",""
"745","Set1/005a.jpg","79","image-keyboard-response","76","116076","0.0-3.0-1.36","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","116577","0.0-3.0-0.37","","fixation","","",""
"762","Set1/128a.jpg","79","image-keyboard-response","78","117340","0.0-3.0-1.37","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","117842","0.0-3.0-0.38","","fixation","","",""
"2085","Set1/044a.jpg","78","image-keyboard-response","80","119929","0.0-3.0-1.38","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","120430","0.0-3.0-0.39","","fixation","","",""
"1077","Set1/037a.jpg","79","image-keyboard-response","82","121510","0.0-3.0-1.39","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","122010","0.0-3.0-0.40","","fixation","","",""
"1308","Set1/088a.jpg","79","image-keyboard-response","84","123320","0.0-3.0-1.40","","","Repeat","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","123821","0.0-3.0-0.41","","fixation","","",""
"914","Set1/106a.jpg","79","image-keyboard-response","86","124736","0.0-3.0-1.41","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","125237","0.0-3.0-0.42","","fixation","","",""
"2195","Set1/031a.jpg","78","image-keyboard-response","88","127433","0.0-3.0-1.42","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","89","127934","0.0-3.0-0.43","","fixation","","",""
"1267","Set1/160a.jpg","79","image-keyboard-response","90","129202","0.0-3.0-1.43","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","129703","0.0-3.0-0.44","","fixation","","",""
"1799","Set1/025a.jpg","79","image-keyboard-response","92","131503","0.0-3.0-1.44","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","93","132004","0.0-3.0-0.45","","fixation","","",""
"889","Set1/088a.jpg","79","image-keyboard-response","94","132896","0.0-3.0-1.45","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","95","133397","0.0-3.0-0.46","","fixation","","",""
"775","Set1/093a.jpg","79","image-keyboard-response","96","134174","0.0-3.0-1.46","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","134674","0.0-3.0-0.47","","fixation","","",""
"748","Set1/054a.jpg","79","image-keyboard-response","98","135423","0.0-3.0-1.47","","","Repeat","o","true"
