"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"1359","Set1/006a.jpg","79","image-keyboard-response","104","162700","0.0-3.0-1.50","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","105","163202","0.0-3.0-0.51","","fixation","","",""
"1361","Set1/140a.jpg","79","image-keyboard-response","106","164566","0.0-3.0-1.51","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","107","165066","0.0-3.0-0.52","","fixation","","",""
"1209","Set1/027a.jpg","78","image-keyboard-response","108","166276","0.0-3.0-1.52","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","109","166777","0.0-3.0-0.53","","fixation","","",""
"990","Set1/049a.jpg","79","image-keyboard-response","110","167769","0.0-3.0-1.53","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","111","168269","0.0-3.0-0.54","","fixation","","",""
"1258","Set1/051a.jpg","79","image-keyboard-response","112","169528","0.0-3.0-1.54","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","113","170030","0.0-3.0-0.55","","fixation","","",""
"905","Set1/028a.jpg","79","image-keyboard-response","114","170936","0.0-3.0-1.55","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","115","171437","0.0-3.0-0.56","","fixation","","",""
"987","Set1/047a.jpg","79","image-keyboard-response","116","172426","0.0-3.0-1.56","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","117","172926","0.0-3.0-0.57","","fixation","","",""
"889","Set1/071a.jpg","79","image-keyboard-response","118","173816","0.0-3.0-1.57","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","119","174318","0.0-3.0-0.58","","fixation","","",""
"679","Set1/108a.jpg","79","image-keyboard-response","120","174999","0.0-3.0-1.58","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","121","175500","0.0-3.0-0.59","","fixation","","",""
"848","Set1/027a.jpg","79","image-keyboard-response","122","176350","0.0-3.0-1.59","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","123","176850","0.0-3.0-0.60","","fixation","","",""
"804","Set1/044a.jpg","79","image-keyboard-response","124","177656","0.0-3.0-1.60","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","125","178156","0.0-3.0-0.61","","fixation","","",""
"781","Set1/045a.jpg","79","image-keyboard-response","126","178939","0.0-3.0-1.61","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","127","179444","0.0-3.0-0.62","","fixation","","",""
"1997","Set1/134a.jpg","78","image-keyboard-response","128","181443","0.0-3.0-1.62","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","129","181944","0.0-3.0-0.63","","fixation","","",""
"1199","Set1/158a.jpg","79","image-keyboard-response","130","183145","0.0-3.0-1.63","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","131","183645","0.0-3.0-0.64","","fixation","","",""
"929","Set1/106a.jpg","79","image-keyboard-response","132","184575","0.0-3.0-1.64","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","133","185077","0.0-3.0-0.65","","fixation","","",""
"1457","Set1/119a.jpg","78","image-keyboard-response","134","186535","0.0-3.0-1.65","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","135","187036","0.0-3.0-0.66","","fixation","","",""
"1086","Set1/105a.jpg","79","image-keyboard-response","136","188123","0.0-3.0-1.66","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","137","188623","0.0-3.0-0.67","","fixation","","",""
"1163","Set1/119a.jpg","79","image-keyboard-response","138","189788","0.0-3.0-1.67","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","139","190288","0.0-3.0-0.68","","fixation","","",""
"678","Set1/148a.jpg","79","image-keyboard-response","140","190968","0.0-3.0-1.68","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","141","191468","0.0-3.0-0.69","","fixation","","",""
"1643","Set1/031a.jpg","78","image-keyboard-response","142","193112","0.0-3.0-1.69","","","Set_1_Only","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","143","193613","0.0-3.0-0.70","","fixation","","",""
"1383","Set1/050a.jpg","79","image-keyboard-response","144","194998","0.0-3.0-1.70","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","145","195498","0.0-3.0-0.71","","fixation","","",""
"931","Set1/082a.jpg","79","image-keyboard-response","146","196431","0.0-3.0-1.71","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","147","196932","0.0-3.0-0.72","","fixation","","",""
"717","Set1/085a.jpg","79","image-keyboard-response","148","197651","0.0-3.0-1.72","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","149","198153","0.0-3.0-0.73","","fixation","","",""
"676","Set1/030a.jpg","79","image-keyboard-response","150","198832","0.0-3.0-1.73","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","151","199332","0.0-3.0-0.74","","fixation","","",""
"821","Set1/160a.jpg","79","image-keyboard-response","152","200154","0.0-3.0-1.74","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","153","200657","0.0-3.0-0.75","","fixation","","",""
"760","Set1/134a.jpg","79","image-keyboard-response","154","201419","0.0-3.0-1.75","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","155","201920","0.0-3.0-0.76","","fixation","","",""
"843","Set1/146a.jpg","79","image-keyboard-response","156","202764","0.0-3.0-1.76","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","157","203265","0.0-3.0-0.77","","fixation","","",""
"932","Set1/107a.jpg","79","image-keyboard-response","158","204199","0.0-3.0-1.77","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","159","204699","0.0-3.0-0.78","","fixation","","",""
"868","Set1/079a.jpg","79","image-keyboard-response","160","205568","0.0-3.0-1.78","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","161","206069","0.0-3.0-0.79","","fixation","","",""
"700","Set1/121a.jpg","79","image-keyboard-response","162","206770","0.0-3.0-1.79","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","163","207272","0.0-3.0-0.80","","fixation","","",""
"1437","Set1/095a.jpg","78","image-keyboard-response","164","208711","0.0-3.0-1.80","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","165","209212","0.0-3.0-0.81","","fixation","","",""
"1015","Set1/041a.jpg","78","image-keyboard-response","166","210228","0.0-3.0-1.81","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","167","210729","0.0-3.0-0.82","","fixation","","",""
"898","Set1/100a.jpg","78","image-keyboard-response","168","211628","0.0-3.0-1.82","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","169","212129","0.0-3.0-0.83","","fixation","","",""
"1056","Set1/036a.jpg","78","image-keyboard-response","170","213187","0.0-3.0-1.83","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","171","213687","0.0-3.0-0.84","","fixation","","",""
"824","Set1/115a.jpg","78","image-keyboard-response","172","214512","0.0-3.0-1.84","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","173","215014","0.0-3.0-0.85","","fixation","","",""
"851","Set1/123a.jpg","78","image-keyboard-response","174","215867","0.0-3.0-1.85","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","175","216367","0.0-3.0-0.86","","fixation","","",""
"840","Set1/015a.jpg","78","image-keyboard-response","176","217208","0.0-3.0-1.86","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","177","217709","0.0-3.0-0.87","","fixation","","",""
"894","Set1/096a.jpg","78","image-keyboard-response","178","218605","0.0-3.0-1.87","","","Repeat","n","true"
